CHAPA,PARES,L5,M5,R5,PADRAO,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
6x3,8,BCEFI,JKMNP,RTWXY,0110110011101101010100111,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1
6x2,6,ADEFG,IKLMO,PSTWX,1001111010111011001100110,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0
7x2,9,ADFGH,IJKLN,PQTWX,1001011111110101100100110,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0
6x3,8,ABDEH,JLMPQ,RSWXY,1101100101011001111000111,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1
5x3,7,ABDHI,KLMOP,STWXY,1101000110111011001100111,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1
7x3,6,ABDEF,GJLOP,QSUWY,1101111001010011101010101,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1
5x4,8,ADGHJ,LNOPR,SUVWY,1001001101010111011011101,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1
6x2,7,AEFHI,JMOPQ,RSTVY,1000110111001011111101001,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1
5x3,5,CDEIJ,KMOPQ,STUXY,0011100011101011101110011,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1
8x2,9,BCDEF,HIJKL,NSTWX,0111110111110100001100110,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0
6x4,9,BFGHI,JKLPS,TVWXY,0100011111110001001101111,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1
8x2,8,ABDEG,HIJKL,NPQXY,1101101111110101100000011,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
7x1,5,CEFGH,IJKMN,OPQSW,0010111111101111101000100,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0
6x3,5,ABEFG,IMNOR,STUWY,1100111010001110011110101,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1
6x4,9,ABDFH,JLOPR,SUWXY,1101010101010011011010111,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1
6x4,6,BEFGH,JLMOQ,SUWXY,0100111101011010101010111,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1
7x1,6,ABCEF,GIMNP,QRSTU,1110111010001101111110000,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0
5x3,9,BFGHJ,KNOQR,STVWX,0100011101100110111101110,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0
6x2,8,BEFGH,JKMNO,PQTWX,0100111101101111100100110,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0
7x2,9,CDFGH,IJNPQ,RSTWX,0011011111000101111100110,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0
5x4,9,ABDEH,KNPRS,TVWXY,1101100100100101011101111,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1
9x2,7,ABCDE,FGIJL,MNOVY,1111111011011110000001001,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
7x0,9,ACDEF,HJKLN,PQRST,1011110101110101111100000,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0
6x4,5,ABCEG,JKNQS,TUWXY,1110101001100100101110111,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1
8x3,8,ABCDE,FGIMN,PTVWX,1111111010001101000101110,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0
5x3,6,EGHIJ,KMNPQ,STUVW,0000101111101101101111100,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0
4x4,9,CFHJK,LMNOR,TUVXY,0010010101111110010111011,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
5x1,6,ACGIJ,KLMNP,QRSTU,1010001011111101111110000,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0
6x3,8,ADEFH,IMNPQ,STUVX,1001110110001101101111010,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0
7x3,7,ABCDF,GHKNQ,STUVW,1111011100100100101111100,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0
5x4,6,ABCDI,MNOQS,TUVXY,1111000010001110101111011,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1
7x2,8,ABDFG,IJKNO,PQTVW,1101011011100111100101100,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0
6x3,8,ABEGH,JKLNP,STUWX,1100101101110101001110110,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0
7x2,7,ABDGH,IJKOP,RSTUW,1101001111100011011110100,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0
4x4,6,ADEFK,LMNPQ,SUVWY,1001110000111101101011101,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1
6x4,7,ADEGH,JKNQS,TUVWX,1001101101100100101111110,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0
7x4,6,ACDEH,IJKMO,TUVWX,1011100111101010000111110,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0
8x3,8,ABCFG,HIJMN,OPVXY,1110011111001111000001011,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1
4x4,6,BGHIK,MNOQR,SUVWX,0100001110101110111011110,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0
6x3,9,ABEGH,JLMNP,QTUVX,1100101101011101100111010,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0
4x3,6,BCDIL,MOPQR,STUWY,0111000010011011111110101,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1
6x4,7,ACDEF,HKLNO,QUVXY,1011110100110110100011011,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1
7x3,8,ACFGH,IJNQR,STVWX,1010011111000100111101110,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0
5x4,7,CDEFJ,KLMNR,SUWXY,0011110001111100011010111,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1
6x4,5,ABCEG,INPQR,SUWXY,1110101010000101111010111,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1
7x4,8,ABDEF,HJKNR,SUWXY,1101110101100100011010111,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1
8x2,8,ABCDE,FHJKM,ORTVY,1111110101101010010101001,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
